species	cancer_type	correlation
Aotus_nancymaae	uterine	0.520041652783215
Aplodontia_rufa	all	0.219122341710963
Aplodontia_rufa	bladder	0.289342620094208
Aplodontia_rufa	breast	0.185528307038239
Aplodontia_rufa	central nervous system	0.230931232112449
Aplodontia_rufa	colon	0.292454856722321
Aplodontia_rufa	colorectal	0.217198908685858
Aplodontia_rufa	endometrial	0.168083343082583
Aplodontia_rufa	gastric	0.197591528498657
Aplodontia_rufa	glioma	0.230751324257311
Aplodontia_rufa	head and neck	0.231884936393281
Aplodontia_rufa	hepatocellular	0.221850379551242
Aplodontia_rufa	intestine	0.14873228032385
Aplodontia_rufa	kidney	0.329142766699885
Aplodontia_rufa	leukaemia	0.135362981398343
Aplodontia_rufa	liver	0.302520989136222
Aplodontia_rufa	lung	0.281367456632398
Aplodontia_rufa	lymphoma	0.219188458985553
Aplodontia_rufa	melanoma	0.259319556499447
Aplodontia_rufa	mesothelioma	0.313548358785264
Aplodontia_rufa	oesophagus	0.166053611492108
Aplodontia_rufa	other tumour types	0.300220877598792
Aplodontia_rufa	ovarian	0.247192993729191
Aplodontia_rufa	paediatric	0.24731747328629
Aplodontia_rufa	pancreas	0.19010506686013
Aplodontia_rufa	prostate	0.153664057190978
Aplodontia_rufa	rare other tumour types	-0.110434782608696
Aplodontia_rufa	renal	0.176119026384
Aplodontia_rufa	sarcoma	0.233344164635458
Aplodontia_rufa	skin	0.145989029766935
Aplodontia_rufa	small intestine	0.211027800298925
Aplodontia_rufa	soft tissue sarcoma	0.246725893795915
Aplodontia_rufa	testicular	0.0691813218987599
Aplodontia_rufa	thyroid	0.26253676815001
Aplodontia_rufa	urothelial	0.309145626658598
Aplodontia_rufa	uterine	0.160660631981352
Artibeus_jamaicensis	all	0.195152277519395
Artibeus_jamaicensis	bladder	0.210998749685956
Artibeus_jamaicensis	breast	0.16254851815053
Artibeus_jamaicensis	central nervous system	0.155537742663342
Artibeus_jamaicensis	colon	0.237053790358821
Artibeus_jamaicensis	colorectal	0.205563164318252
Artibeus_jamaicensis	endometrial	0.147265276919473
Artibeus_jamaicensis	gastric	0.169778486521357
Artibeus_jamaicensis	glioma	0.226056380882896
Artibeus_jamaicensis	head and neck	0.213446197211942
Artibeus_jamaicensis	hepatocellular	0.217948208942838
Artibeus_jamaicensis	intestine	0.174014610026494
Artibeus_jamaicensis	kidney	0.273441034490935
Artibeus_jamaicensis	leukaemia	0.151389979808896
Artibeus_jamaicensis	liver	0.243877193834072
Artibeus_jamaicensis	lung	0.260064940345532
Artibeus_jamaicensis	lymphoma	0.176288301687355
Artibeus_jamaicensis	melanoma	0.249578343842442
Artibeus_jamaicensis	mesothelioma	0.319230300558783
Artibeus_jamaicensis	oesophagus	0.137186547648044
Artibeus_jamaicensis	other tumour types	0.277214745317429
Artibeus_jamaicensis	ovarian	0.174670544940024
Artibeus_jamaicensis	paediatric	0.321741010046034
Artibeus_jamaicensis	pancreas	0.21483867829279
Artibeus_jamaicensis	prostate	0.146188694197131
Artibeus_jamaicensis	rare other tumour types	-0.111722889468081
Artibeus_jamaicensis	renal	0.136642481774397
Artibeus_jamaicensis	sarcoma	0.199818279176321
Artibeus_jamaicensis	skin	0.151277412770546
Artibeus_jamaicensis	small intestine	0.149178610168563
